Datetime,Open,High,Low,Close,Volume
2019-03-01 09:15:00,313.5,313.5,305.7,311.55,435983
2019-03-01 09:30:00,311.7,313.0,307.0,308.25,216544
2019-03-01 09:45:00,308.05,308.7,305.1,306.4,217287
2019-03-01 10:00:00,306.15,306.4,304.3,305.0,282631
2019-03-01 10:15:00,304.95,306.2,304.7,305.35,255543
2019-03-01 10:30:00,305.15,305.35,304.5,304.75,208092
2019-03-01 10:45:00,304.75,305.8,302.55,305.55,137400
2019-03-01 11:00:00,305.4,306.25,304.75,305.55,89590
2019-03-01 11:15:00,305.6,306.8,305.0,305.5,138187
2019-03-01 11:30:00,305.5,307.4,305.1,307.4,246606
2019-03-01 11:45:00,307.35,309.0,307.0,308.0,252921
2019-03-01 12:00:00,308.05,308.6,307.15,308.45,258764
2019-03-01 12:15:00,308.5,309.4,308.15,308.65,142637
2019-03-01 12:30:00,308.75,308.75,307.8,308.2,208257
2019-03-01 12:45:00,308.2,308.5,307.85,308.35,189023
2019-03-01 13:00:00,308.35,309.15,308.0,308.55,129364
2019-03-01 13:15:00,308.55,308.95,308.2,308.8,104623
2019-03-01 13:30:00,308.8,309.2,307.55,308.55,113361
2019-03-01 13:45:00,308.55,308.65,307.9,308.3,136292
2019-03-01 14:00:00,308.25,309.0,307.75,308.1,162772
2019-03-01 14:15:00,308.0,308.7,307.7,308.0,155858
2019-03-01 14:30:00,308.1,310.65,308.0,309.6,223187
2019-03-01 14:45:00,309.9,311.3,308.4,309.05,1034010
2019-03-01 15:00:00,309.05,309.1,306.0,306.9,3791054
2019-03-01 15:15:00,306.85,308.35,306.7,307.9,3133607
2019-03-01 15:30:00,308.0,308.0,308.0,308.0,746
2019-03-05 09:15:00,308.0,308.3,303.6,305.35,435983
2019-03-05 09:30:00,305.3,306.25,304.6,305.2,216544
2019-03-05 09:45:00,305.3,305.7,304.5,305.35,217287
2019-03-05 10:00:00,305.35,305.9,304.9,305.7,282631
2019-03-05 10:15:00,305.65,306.0,305.1,305.45,255543
2019-03-05 10:30:00,305.45,306.3,305.25,306.1,208092
2019-03-05 10:45:00,306.15,308.35,306.0,307.7,137400
2019-03-05 11:00:00,307.7,308.1,307.0,307.9,89590
2019-03-05 11:15:00,307.85,307.85,305.5,305.95,138187
2019-03-05 11:30:00,305.75,306.15,304.7,305.2,246606
2019-03-05 11:45:00,305.2,305.55,304.55,305.3,252921
2019-03-05 12:00:00,305.15,305.6,304.65,305.1,258764
2019-03-05 12:15:00,305.1,305.8,304.95,305.75,142637
2019-03-05 12:30:00,305.6,306.25,305.0,306.2,208257
2019-03-05 12:45:00,306.2,307.4,306.05,306.45,189023
2019-03-05 13:00:00,306.45,307.0,306.1,306.95,129364
2019-03-05 13:15:00,306.95,307.2,306.2,307.0,104623
2019-03-05 13:30:00,307.0,307.5,306.75,307.1,113361
2019-03-05 13:45:00,307.05,307.4,306.5,307.15,136292
2019-03-05 14:00:00,307.0,307.2,306.7,307.15,162772
2019-03-05 14:15:00,307.15,308.45,307.0,308.2,155858
2019-03-05 14:30:00,308.2,308.4,307.6,308.05,223187
2019-03-05 14:45:00,308.05,309.2,307.8,308.05,1034010
2019-03-05 15:00:00,308.2,308.35,307.2,308.0,3791054
2019-03-05 15:15:00,308.05,308.3,307.3,308.0,3133607
2019-03-06 09:15:00,310.1,312.8,308.45,311.95,435983
2019-03-06 09:30:00,312.1,312.45,310.2,310.8,216544
2019-03-06 09:45:00,310.75,313.25,310.7,313.1,217287
2019-03-06 10:00:00,313.1,313.2,310.5,311.2,282631
2019-03-06 10:15:00,311.0,311.25,309.4,310.05,255543
2019-03-06 10:30:00,310.15,311.0,309.25,310.3,208092
2019-03-06 10:45:00,310.25,310.75,309.5,310.15,137400
2019-03-06 11:00:00,310.25,310.5,309.55,310.1,89590
2019-03-06 11:15:00,310.1,310.95,308.7,309.0,138187
2019-03-06 11:30:00,309.0,310.0,308.75,309.25,246606
2019-03-06 11:45:00,309.15,310.3,309.0,309.95,252921
2019-03-06 12:00:00,309.95,310.25,308.55,309.25,258764
2019-03-06 12:15:00,309.25,309.9,308.9,309.65,142637
2019-03-06 12:30:00,309.65,309.75,309.2,309.65,208257
2019-03-06 12:45:00,309.7,309.85,309.0,309.6,189023
2019-03-06 13:00:00,309.65,310.65,309.3,309.95,129364
2019-03-06 13:15:00,309.95,310.0,309.4,309.75,104623
2019-03-06 13:30:00,309.6,310.4,309.55,310.25,113361
